sku,ean13,categoria,familia,color,control,potencia_w,corriente_a,flujo_lm,angulo,cct,ip,ubicacion,tension_v,medidas_mm,peso_g,garantia_anios,marca,proveedor,linea,precio_ars
RMS-1M-B,7428325586352,Riel,Riel Slim,Blanco,,,4.2A max,,,,20,Interior,DC48V,1000*25*5,380,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-1M-N,7428325586338,Riel,Riel Slim,Negro,,,4.2A max,,,,20,Interior,DC48V,1000*25*5,380,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-2M-BCO,7428325597341,Riel,Riel Slim,Blanco,,,4.2A max,,,,20,Interior,DC48V,2000*25*5,740,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-2M-NEG,7428325597365,Riel,Riel Slim,Negro,,,4.2A max,,,,20,Interior,DC48V,2000*25*5,740,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-3M-BCO,7428325597396,Riel,Riel Slim,Blanco,,,4.2A max,,,,20,Interior,DC48V,3000*25*5,1120,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-3M-NEG,7428325597334,Riel,Riel Slim,Negro,,,4.2A max,,,,20,Interior,DC48V,3000*25*5,1120,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-E-1M,7428325586499,Riel,Riel Embutir,Negro,,,4.2A max,,,,20,Interior,DC48V,1000*65*30,700,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-E-2M,7428325586505,Riel,Riel Embutir,Negro,,,4.2A max,,,,20,Interior,DC48V,2000*65*30,1360,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-E-3M,7428325586895,Riel,Riel Embutir,Negro,,,4.2A max,,,,20,Interior,DC48V,3000*65*30,1900,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-1M,7428325586512,Riel,Riel Bold,Negro,,,4.2A max,,,,20,Interior,DC48V,1000*30*80,1400,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-2M,7428325586529,Riel,Riel Bold,Negro,,,4.2A max,,,,20,Interior,DC48V,2000*30*80,1800,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-3M,7428325586901,Riel,Riel Bold,Negro,,,4.2A max,,,,20,Interior,DC48V,3000*30*80,3800,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CLV-B,7428325586468,Acople/Conductor,L Vertical (Slim),Blanco,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CLV-N,7428325586451,Acople/Conductor,L Vertical (Slim),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CT-B,7428325586420,Acople/Conductor,T Recto (Slim),Blanco,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CT-N,7428325586413,Acople/Conductor,T Recto (Slim),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CX-B,7428325586444,Acople/Conductor,X Curvo (Slim),Blanco,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CX-N,7428325586437,Acople/Conductor,X Curvo (Slim),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CPR-B,7428325586482,Acople/Conductor,Prolongador Recto (Slim),Blanco,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CPR-N,7428325586475,Acople/Conductor,Prolongador Recto (Slim),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CLR-B,7428325586383,Acople/Conductor,L Recto (Slim),Blanco,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CLR-N,7428325586376,Acople/Conductor,L Recto (Slim),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CLC-B,7428325586406,Acople/Conductor,L Curvo (Slim),Blanco,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CLC-N,7428325586390,Acople/Conductor,L Curvo (Slim),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CLV-E,7428325586574,Acople/Conductor,L Vertical (Embutir),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CT-E,7428325586918,Acople/Conductor,T (Embutir),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CX-E,7428325586925,Acople/Conductor,X (Embutir),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CL-E,7428325586550,Acople/Conductor,L (Embutir),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-AR-E,7428325586536,Acople/Conductor,Acoplador Rieles (Embutir),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-ELI-E-S,7428325586581,Acople/Conductor,Conductor I (Embutir/Bold),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-ETLL-E-S,7428325586598,Acople/Conductor,Conductor L (Embutir/Bold),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-ETLT-E-S,7428325586604,Acople/Conductor,Conductor T (Embutir/Bold),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-ETLX-E-S,7428325586611,Acople/Conductor,Conductor X (Embutir/Bold),Negro,,,,,,,20,Interior,DC48V,,,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
